address,nbr_tx_in,nbr_tx_out,Tot_in,Tot_out,mean_in,mean_out,sdev_in,sdev_out,gini_in,gini_out,avg_time_btw_tx,lifetime,ponzi
0x446d1696a5527018453cda3d67aa4c2cd189b9f6,13,407,1.47E+19,2.84E+20,1.13E+18,6.98E+17,5.59E+17,1.48E+18,0.167451596,0.718916497,54779.47619,23007380,1
0xe8b55deaced913c5c6890331d2926ea0fcbe59ac,1,7,1.00E+17,2.41E+19,1.00E+17,3.45E+18,0,6.84E+18,0,0.794282629,7288240.5,58305924,1
0xb1d58bad78f33892719cdeba218f8641a71a3f05,6,9,1.20E+17,4.50E+19,2.00E+16,5.00E+18,1.53E+16,4.47E+18,0.361111111,0.444444444,168052.7333,2520791,1
0x43bbc7fafb860d974037b8f7dd06b6f6fe799b3e,6,1,6.01E+18,1.00E+18,1.00E+18,1.00E+18,5.74E+17,0,0.275929007,0,518091.1429,3626638,1
0xcaaca224e35d0a1fa3304a3c4ec8beb5f28a99aa,36,1,3.14E+19,1.13E+19,8.73E+17,1.13E+19,1.85E+18,0,0.794309304,0,2482331.595,91846269,1
0xea06c9cb0d69058468387f283e9a3f61c53e3c21,20,16,2.23E+19,1.60E+20,1.12E+18,1.00E+19,9.59E+17,0,0.461210762,0,8687.75,312759,1
0x294308484f47ff5a833a284ac6949eb02728fbe4,5,19,1.49E+18,6.63E+20,2.98E+17,3.49E+19,1.06E+17,3.67E+19,0.182550336,0.5602312,132989.625,3191751,1
0x007d42b9192b8c087b0d3e6ef73aae48e74b41c1,21,5,2.10E+20,2.82E+19,1.00E+19,5.65E+18,0,6.26E+18,0,0.559688275,140685.5,3657823,1
0xb336a86e2feb1e87a328fcb7dd4d04de3df254d0,1,1,2.01E+18,3.72E+16,2.01E+18,3.72E+16,0,0,0,0,23405300,46810600,1
0xf243688304fa4f6c6efadc22b9c1dd009aa76650,6,19,3.80E+19,7.85E+20,6.33E+18,4.13E+19,1.06E+19,3.88E+19,0.675438596,0.520184572,48533.72,1213343,1
0x89c2352cb600df56fe4bfb5882caadef3e96213f,153,7,3.07E+21,2.00E+18,2.01E+19,2.86E+17,2.69E+19,3.30E+17,0.643462944,0.575892857,292044.675,46727148,1
0xa39fcb48adf288f143459d57a1a0756718c919ae,268,28,5.33E+21,1.99E+19,1.99E+19,7.11E+17,3.00E+19,8.87E+17,0.720717732,0.583094042,156019.7399,46181843,1
0x02b2101903eb6a51518e63e84b785180859fda9d,154,1,4.16E+20,2.50E+18,2.70E+18,2.50E+18,7.83E+18,0,0.853795322,0,477515.1677,74014851,1
0x0b230b071008bbb145b5bff27db01c9248f486b9,4,2,2.22E+18,5.01E+18,5.56E+17,2.51E+18,4.44E+17,2.45E+18,0.401978801,0.49,46823.16667,280939,1
0x7fd6d3537b39842cfe16e813851296d4745b51a7,57,13,2.74E+20,1.87E+19,4.81E+18,1.44E+18,3.55E+18,2.26E+18,0.400464489,0.656619178,85541.92857,5987935,1
0x4028b9672bfd71ba2fcd97a6c82e06f72eaa14ba,14,46,1.40E+19,1.74E+20,1.00E+18,3.78E+18,0,5.04E+18,0,0.64119924,28363.9,1701834,1
0xd0e614953de3dd3d4816b195d261769efd880a50,12,11,1.38E+19,3.85E+19,1.15E+18,3.50E+18,1.50E+18,3.51E+18,0.641669694,0.490989631,199031.3478,4577721,1
0xf7070fc72e2b92c6309785a39338d7c919a3cf4a,8,535,1.07E+19,2.57E+19,1.34E+18,4.80E+16,8.70E+17,8.09E+16,0.323597011,0.731182664,63972.15654,34736881,1
0x2464d1d97f8d0180cfad67bdb19bc30cca69dda0,6,32,5.10E+19,8.70E+19,8.50E+18,2.72E+18,3.35E+18,3.67E+18,0.147058824,0.645474138,356123.1579,13532680,1
0xc58492b3b14f658adff566c988029308505f81b5,3,2,4.50E+16,3.05E+16,1.50E+16,1.53E+16,7.07E+15,3.75E+15,0.222222222,0.12295082,1698708.2,8493541,1
0x0389a06b028526b05966c287370bebefa0082176,77,197,8.66E+19,3.13E+20,1.12E+18,1.59E+18,1.41E+18,2.55E+18,0.623183122,0.746147692,270127.1934,74014851,1
0x75aa81161e07483f6ca199fef46c13eb13d190be,31,14,7.89E+19,6.58E+18,2.54E+18,4.70E+17,1.78E+18,1.14E+18,0.359036388,0.813034791,1984625.489,89308147,1
0xd57ad441160865b7393be8c8244a69957dc4d53e,1,143,2.00E+18,7.44E+21,2.00E+18,5.20E+19,0,5.52E+19,0,0.569961617,41241.34028,5938753,1
0x16a4ff536001405f2b0d7ddafc79f6a10d024640,2,24,4.00E+16,1.35E+20,2.00E+16,5.60E+18,1.00E+16,8.07E+18,0.25,0.694946698,134030.8077,3484801,1
0xab7689c7be6d9b5428d6bf4c536dc699fc919260,48,1,2.60E+19,9.50E+15,5.42E+17,9.50E+15,1.32E+18,0,0.664568986,0,1252208.776,61358230,1
0xfeeb8a968f0d7fd58e29fbfc525051f50ee2fedc,51,18,7.45E+20,1.36E+19,1.46E+19,7.55E+17,2.08E+19,1.28E+18,0.670426843,0.749232863,1594754.928,110038090,1
0x3e84512f277a5081b9209831c51bce665035d9db,18,2,2.62E+20,5.10E+19,1.45E+19,2.55E+19,2.58E+19,2.45E+19,0.751878068,0.480392157,927167.35,18543347,1
0xbe46324018124b2d604c2f3eae91d3de9b388b09,431,6,5.52E+21,4.01E+19,1.28E+19,6.68E+18,3.03E+19,4.70E+18,0.769740063,0.331918788,150935.9954,65959030,1
0x99925cc9a57f5e473ff22314cfe0627a0bfcceb4,1,19,1.00E+17,7.34E+19,1.00E+17,3.86E+18,0,4.25E+18,0,0.532343924,184168.65,3683373,1
0x37b53b46fa74ac3f9b4340dc5a39aabb0f2afa33,243,43,8.51E+20,2.64E+20,3.50E+18,6.14E+18,2.03E+18,4.25E+18,0.28697832,0.380446857,21467.3042,6139649,1
0x5158cf97c3e001b402ccb0f9063736ee8d6dad5a,5,24,8.50E+17,1.50E+20,1.70E+17,6.26E+18,2.45E+16,8.44E+18,0.070588235,0.553186815,120190.6552,3485529,1
0x1ce7986760ade2bf0f322f5ef39ce0de3bd0c82b,5,2,6.00E+20,2.01E+18,1.20E+20,1.01E+18,4.00E+19,9.85E+17,0.133333333,0.49,1337050.286,9359352,1
0x80d9c4f6209044de069c545f68644419b520a02f,2,12,2.00E+16,9.37E+18,1.00E+16,7.80E+17,0,6.83E+17,0,0.48340452,913630.5,12790827,1
0x0d5919572552c6c8c752aa402bd033f2b2886bbc,2,69,3.00E+18,1.10E+20,1.50E+18,1.59E+18,1.50E+18,3.21E+18,0.499996667,0.752009472,676384.7042,48023314,1
0xa379bbdd0af814502eb9b38d475c7fa7411bb4ec,6,25,2.50E+19,4.55E+19,4.17E+18,1.82E+18,1.86E+18,2.55E+18,0.166266827,0.64828267,34409.35484,1066690,1
0xcff9cb72d19c10df754ae7be6d280e379cdb2354,30,66,1.37E+20,1.36E+21,4.58E+18,2.07E+19,4.26E+18,3.45E+19,0.489430715,0.716958672,829894.8438,79669905,1
0x51170b18bca7896b49c52dcc18e66e5c921e100f,1,4,5.00E+17,1.26E+18,5.00E+17,3.14E+17,0,3.11E+17,0,0.522684737,144305.6,721528,1
0x422f8015c5d8168edee923749701360a8a4d0703,1,2,1.00E+17,1.59E+18,1.00E+17,7.95E+17,0,2.20E+17,0,0.13836478,1808737,5426211,1
0xf1c1648f6f0edbcf7d898441b88e489cfaace11d,130,12,1.04E+21,4.91E+18,7.98E+18,4.10E+17,1.30E+19,5.93E+17,0.706839177,0.66456629,57626.10563,8182907,1
0x8ea6c8077d6316b46e449aec8fb60a606cf50eea,12,1,1.20E+17,1.50E+20,1.00E+16,1.50E+20,0,0,0,0,1542702.538,20055133,1
0xfd2487cc0e5dce97f08be1bc8ef1dce8d5988b4d,21,2,2.10E+19,2.04E+16,1.00E+18,1.02E+16,0,4.80E+15,0,0.235294118,733853.2609,16878625,1
0x14d7a3f1767b94b366ba29b4f774588459359f27,12,66,1.08E+19,8.95E+20,9.03E+17,1.36E+19,1.32E+18,2.08E+19,0.608856089,0.69525497,53793.19231,4195869,1
